Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Product Page
Hitachi HGST Travelstar 7K1000,,Hitachi HGST,HTS721010A9E630,829686002661,,,1 TB,7200.0,32.0,
Hitachi HGST Ultrastar 7K4000,,Hitachi HGST,HUS724020ALE640,829686002449,,,2 TB,7200.0,,
Seagate Archive Hard Drive ST6000AS0002 6TB 5900rpm 128MB,,Seagate,ST6000AS0002,8592978037819,,,6 TB,5900.0,,
Seagate Archive Hard Drive ST8000AS0002 8TB 5900rpm 128MB,,Seagate,ST8000AS0002,7636490056932,,,8 TB,5900.0,,
Seagate BarraCuda Compute Hard Drive 2 TB,164.07 zł,Seagate,ST2000DM008,763649113653,763649113653.0,"3.5""",2 TB,7200.0,256.0,https://www.amazon.ca/dp/B07H2RR55Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Barracuda Hard Drive,,Seagate,ST4000DM000,7636490034879,,,4 TB,5900.0,64.0,
Seagate Barracuda Hard Drive,183.49 zł,Seagate,ST1000DM003,7636490025914,,,1 TB,7200.0,64.0,https://www.amazon.ca/Seagate-Desktop-HDD-Hard-Drive/dp/B01KALOV08?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01KALOV08
Seagate BarraCuda Hard Drive,205.09 zł,Seagate,ST2000DM006,763649110218,,,2 TB,7200.0,,https://www.amazon.ca/Seagate-BarraCuda-3-5-Inch-Internal-ST2000DM006/dp/B01IEKG402?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IEKG402
Seagate BarraCuda Hard Drive,319.62 zł,Seagate,ST3000DM008,763649110225,,,3 TB,7200.0,,https://www.amazon.ca/dp/B01IEKG4NE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Barracuda Hard Drive,424.92 zł,Seagate,ST2000DM001,7636490026003,,,2 TB,7200.0,64.0,https://www.amazon.ca/Seagate-ST2000DM001-Drives-Cache-Internal/dp/B00EG1T898?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EG1T898
Seagate BarraCuda Hard Drive 1 TB,158.57 zł,Seagate,ST1000DM010,763649098240,763649110928.0,"3.5""",1 TB,7200.0,64.0,https://www.amazon.ca/dp/B07D99KFPK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 1 TB,195.51 zł,Seagate,ST1000LM048,763649098301,763649110980.0,"2.5""",1 TB,5400.0,128.0,https://www.amazon.ca/dp/B01LYNQXCP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 2 TB,,Seagate,ST2000LM015,763649098318,763649110997.0,"2.5""",2 TB,5400.0,128.0,
Seagate BarraCuda Hard Drive 3 TB,,Seagate,ST3000LM024,763649078990,763649091678.0,"2.5""",3 TB,5400.0,128.0,
Seagate BarraCuda Hard Drive 3 TB,328.14 zł,Seagate,ST3000DM007,7636490078170,763649090855.0,"3.5""",3 TB,5400.0,256.0,https://www.amazon.ca/dp/B075YPRCWC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 4 TB,,Seagate,ST4000LM024,763649078983,763649091661.0,"2.5""",4 TB,5400.0,128.0,
Seagate BarraCuda Hard Drive 4 TB,337.34 zł,Seagate,ST4000DM004,763649094402,763649094402.0,"3.5""",4 TB,5400.0,256.0,https://www.amazon.ca/Seagate-Barracuda-Internal-Computer-ST4000DM004/dp/B071WLPRHN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071WLPRHN
Seagate BarraCuda Hard Drive 5 TB,735.23 zł,Seagate,ST5000LM000,763649078969,763649078969.0,"2.5""",5 TB,5400.0,128.0,https://www.amazon.ca/Seagate-BarraCuda-Internal-Hard-Drive/dp/B01M0AADIX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0AADIX
Seagate BarraCuda Hard Drive 6 TB,516.79 zł,Seagate,ST6000DM003,763649094426,763649094426.0,"3.5""",6 TB,5400.0,256.0,https://www.amazon.ca/dp/B075WX2TKM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate BarraCuda Hard Drive 8 TB,533.23 zł,Seagate,ST8000DM004,763649094419,763649094419.0,"3.5""",8 TB,5400.0,256.0,https://www.amazon.ca/Seagate-Barracuda-Internal-3-5-Inch-ST8000DM004/dp/B075WYBQXJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075WYBQXJ
Seagate BarraCuda Pro Hard Drive,,Seagate,ST4000DM006,763649100783,763649114643.0,"3.5""",4 TB,7.2,128.0,
Seagate BarraCuda Pro Hard Drive,,Seagate,ST6000DM004,763649098165,763649110843.0,"3.5""",6 TB,7.2,256.0,
Seagate BarraCuda Pro Hard Drive,1107.21 zł,Seagate,ST8000DM0004,763649116401,763649116401.0,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/Seagate-ST8000DM0004-Drives-Cache-Internal/dp/B06Y6CCSVW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06Y6CCSVW
Seagate BarraCuda Pro Hard Drive 1 TB,218.74 zł,Seagate,ST1000LM049,763649115756,763649115756.0,"2.5""",1 TB,7200.0,128.0,https://www.amazon.ca/Seagate-ST1000LM049-Drives-Cache-Internal/dp/B078TJ17QF?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078TJ17QF
Seagate BarraCuda Pro Hard Drive 12 TB,1644.89 zł,Seagate,ST12000DM0007,763649103197,763649117330.0,"3.5""",12 TB,7200.0,256.0,https://www.amazon.ca/Seagate-ST12000DM0007-Drives-12000-Internal/dp/B078SXT4ZK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078SXT4ZK
Seagate BarraCuda Pro Hard Drive 14 TB,2105.66 zł,Seagate,ST14000DM001,8719706004305,,"3.5""",14 TB,7200.0,256.0,https://www.amazon.ca/Seagate-Barracuda-Internal-Drive-Performance/dp/B07H7C4DXR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7C4DXR
Seagate BarraCuda Pro Hard Drive 2 TB,,Seagate,ST2000DM009,763649100776,763649114636.0,"3.5""",2 TB,7200.0,128.0,
Seagate BarraCuda Pro Hard Drive ST10000DM0004,,Seagate,ST10000DM0004,8592978058906,,,10 TB,7200.0,,
Seagate BarraCuda Pro Hard Drive ST8000DM005,,Seagate,ST8000DM005,763649098158,763649110836.0,,8 TB,7200.0,,
Seagate Desktop Hard Drive ST3000DM001,,Seagate,ST3000DM001,7636490025938,,,3 TB,7200.0,,
Seagate Desktop Hard Drive ST5000DM002,,Seagate,ST5000DM002,8592978041731,,,5 TB,7200.0,,
Seagate Desktop Hard Drive ST6000DM001,775.56 zł,Seagate,ST6000DM001,8592978042073,763649075821.0,,6 TB,7200.0,,https://www.amazon.ca/Seagate-Desktop-3-5-Inch-Internal-ST6000DM001/dp/B013JPKYQC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013JPKYQC
Seagate Enterprise Capacity ST1000NM0008,234.46 zł,Seagate,ST1000NM0008,763649098509,,,1 TB,7200.0,,https://www.amazon.ca/dp/B01N76CZII?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise Capacity ST1000NM0055,309.44 zł,Seagate,ST1000NM0055,7636490069345,763649070796.0,,1 TB,7200.0,,https://www.amazon.ca/dp/B01CG0DF2G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise Capacity ST1000NX0313,656.28 zł,Seagate,ST1000NX0313,7636490043505,763649044957.0,,1 TB,7200.0,,https://www.amazon.ca/dp/B00Q46QUU8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise Capacity ST2000NM0033,,Seagate,ST2000NM0033,8592978004613,,,2 TB,7200.0,,
Seagate Enterprise Capacity ST2000NM0055,340.17 zł,Seagate,ST2000NM0055,8592978061999,763649070789.0,,2 TB,7200.0,,https://www.amazon.ca/Seagate-Enterprise-2TB-ST2000NM0055-7200RPM/dp/B01CG0DCWE?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CG0DCWE
Seagate Enterprise Capacity ST2000NX0253,1137.60 zł,Seagate,ST2000NX0253,8592978040918,763649044919.0,,2 TB,7200.0,,https://www.amazon.ca/dp/B00Q46R8K4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise Capacity ST4000NM0115,675.21 zł,Seagate,ST4000NM0115,8592978070304,763649115015.0,,4 TB,7200.0,,https://www.amazon.ca/Seagate-SEADX-ST4000NM0115-Hard-Drives/dp/B01N2OGNDU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2OGNDU
Seagate Enterprise Hard Drive,,Seagate,ST4000NM0033,7636490028557,,,4 TB,7200.0,,
Seagate Enterprise Hard Drive,,Seagate,ST6000NM0024,7636490047893,763649049341.0,,6 TB,7200.0,,
Seagate Enterprise Hard Drive,,Seagate,ST3000NM0033,7636490028571,,,3 TB,7200.0,,
Seagate Enterprise Hard Drive v5,847.72 zł,Seagate,ST6000NM0115,7636490068744,763649070192.0,,6 TB,7200.0,6.0,https://www.amazon.ca/dp/B01CG0DCTC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Enterprise NAS Hard Drive ST2000VN0001 2TB 7200rpm 128MB,,Seagate,ST2000VN0001,7636490062636,,,2 TB,7200.0,,
Seagate Enterprise NAS Hard Drive ST4000VN0001 4TB 7200rpm 128MB,,Seagate,ST4000VN0001,8592978031695,,,4 TB,7200.0,,
Seagate Enterprise NAS Hard Drive ST5000VN0001 5TB 7200rpm 128MB,,Seagate,ST5000VN0001,7636490062605,,,5 TB,7200.0,,
Seagate Enterprise NAS Hard Drive ST6000VN0001 6TB 7200rpm 128MB,,Seagate,ST6000VN0001,8592978031718,,,6 TB,7200.0,,
Seagate Enterprise NAS Hard Drive ST8000NE0001 8TB 7200rpm 128MB,,Seagate,ST8000NE0001,7636490071645,,,8 TB,7200.0,,
Seagate Exos 7E2 Hard Drive 2 TB,393.78 zł,Seagate,ST2000NM0008,763649098523,763649111284.0,"3.5""",2 TB,7200.0,128.0,https://www.amazon.ca/Seagate-ST2000NM0008-Drives-Cache-Internal/dp/B01N95NM6L?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N95NM6L
Seagate Exos 7E8 Hard Drive 2 TB,,Seagate,ST2000NM001A,8719706015684,,"3.5""",2 TB,7200.0,256.0,
Seagate Exos 7E8 Hard Drive 4 TB,628.95 zł,Seagate,ST4000NM002A,8719706015899,,"3.5""",4 TB,7200.0,256.0,https://www.amazon.ca/dp/B07T4411LF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate Exos 7E8 Hard Drive 6 TB,,Seagate,ST6000NM021A,8719706015141,,"3.5""",6 TB,7200.0,256.0,
Seagate Exos 7E8 Hard Drive 8 TB,,Seagate,ST8000NM000A,8719706005616,,"3.5""",8 TB,7200.0,256.0,
Seagate Exos E 7E8 Hard Drive 8 TB,865.59 zł,Seagate,ST8000NM0055,7636490064593,,"3.5""",8 TB,7200.0,256.0,https://www.amazon.ca/Seagate-Enterprise-Capacity-Internal-ST8000NM0055/dp/B016AG0ITU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016AG0ITU
Seagate Exos X10 Hard Drive 10 TB,,Seagate,ST10000NM0016,7636490069741,763649071199.0,"3.5""",10 TB,7200.0,256.0,
Seagate Exos X14 Hard Drive 12 TB,,Seagate,ST12000NM0008,8719706007559,,"3.5""",12 TB,7200.0,256.0,
Seagate Exos X16 Hard Drive 12 TB,,Seagate,ST12000NM001G,8719706011679,,"3.5""",12 TB,7.2,256.0,
Seagate Exos X16 Hard Drive 14 TB,,Seagate,ST14000NM001G,763649124130,,"3.5""",14 TB,7200.0,256.0,
Seagate Exos X16 Hard Drive 16 TB,,Seagate,ST16000NM001G,763649124147,,"3.5""",16 TB,7200.0,256.0,
Seagate Exos X16 Hard Drive 18 TB,,Seagate,ST18000NM000J,8719706020442,,"3.5""",18 TB,7.2,256.0,
Seagate FireCuda SSHD,,Seagate,ST2000DX002,3660619400379,763649110270.0,"3.5""",2 TB,7.2,64.0,
Seagate FireCuda SSHD 1 TB,,Seagate,ST1000LX015,7636490067624,763649069073.0,"2.5""",1 TB,5400.0,128.0,
Seagate FireCuda SSHD 1 TB,259.75 zł,Seagate,ST1000DX002,763649110263,763649110263.0,"3.5""",1 TB,7200.0,64.0,https://www.amazon.ca/dp/B01IEKG484?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate FireCuda SSHD 2 TB,328.14 zł,Seagate,ST2000LX001,7636490069840,763649071298.0,"2.5""",2 TB,5400.0,128.0,https://www.amazon.ca/Seagate-Firecuda-2-5-Inch-Internal-ST2000LX001/dp/B01M1NHCZT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1NHCZT
Seagate IronWolf Hard Drive,811.94 zł,Seagate,ST8000VN0022,763649110874,763649110874.0,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/dp/B01M1BUBSO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive,1244.25 zł,Seagate,ST12000VN0007,763649117347,763649117347.0,"3.5""",12 TB,7.2,256.0,https://www.amazon.ca/dp/B075XPBD5B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 1 TB,188.65 zł,Seagate,ST1000VN002,8719706002370,763649110683.0,"3.5""",1 TB,5900.0,64.0,https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 10 TB,,Seagate,ST10000VN0008,763649121764,,"3.5""",10 TB,7200.0,256.0,
Seagate IronWolf Hard Drive 12 TB,,Seagate,ST12000VN0008,763649121757,,"3.5""",12 TB,7200.0,256.0,
Seagate Ironwolf Hard Drive 14 TB,1777.52 zł,Seagate,ST14000VN0008,8719706004343,763649121740.0,"3.5""",14 TB,7200.0,256.0,https://www.amazon.ca/Seagate-IronWolf-14TB-Internal-Drive/dp/B07H7CW4YT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7CW4YT
Seagate IronWolf Hard Drive 16 TB,,Seagate,ST16000VN001,8719706008686,,"3.5""",16 TB,5900.0,256.0,
Seagate IronWolf Hard Drive 6 TB,,Seagate,ST6000VN001,763649079416,,"3.5""",6 TB,5400.0,256.0,
Seagate IronWolf Hard Drive 6 TB,628.95 zł,Seagate,ST6000VN0033,8719706003674,763649110805.0,"3.5""",6 TB,7200.0,256.0,https://www.amazon.ca/dp/B0767P5BYT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Hard Drive 8 TB,669.97 zł,Seagate,ST8000VN004,763649125069,,"3.5""",8 TB,7200.0,256.0,https://www.amazon.ca/dp/B084ZV4DXB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf NAS Hard Drive ST10000VN0004,1277.01 zł,Seagate,ST10000VN0004,8592978067694,763649089248.0,,10 TB,7200.0,,https://www.amazon.ca/dp/B01IA9GU0Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf NAS Hard Drive ST2000VN004,295.30 zł,Seagate,ST2000VN004,8592978061562,,,2 TB,5900.0,,https://www.amazon.ca/Seagate-IronWolf-Internal-Hard-Drive/dp/B01LOOJ8T4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LOOJ8T4
Seagate IronWolf NAS Hard Drive ST3000VN007,355.47 zł,Seagate,ST3000VN007,8592978061548,763649110706.0,,3 TB,5900.0,,https://www.amazon.ca/dp/B01LOOJBRI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf NAS Hard Drive ST4000VN008,404.67 zł,Seagate,ST4000VN008,8592978061531,763649110560.0,,4 TB,5900.0,,https://www.amazon.ca/dp/B01LOOJBQY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf NAS Hard Drive ST6000VN0041,593.40 zł,Seagate,ST6000VN0041,763649110881,763649110881.0,,6 TB,7200.0,,https://www.amazon.ca/dp/B01LZDFMWQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive,544.16 zł,Seagate,ST4000NE0025,763649098554,763649111314.0,"3.5""",4 TB,7.2,128.0,https://www.amazon.ca/dp/B01N98UJSD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive,780.54 zł,Seagate,ST6000NE0023,763649111321,763649111321.0,"3.5""",6 TB,7.2,256.0,https://www.amazon.ca/Seagate-IronWolf-ST6000NE0023-Internal-Drive/dp/B075V6G82S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075V6G82S
Seagate IronWolf Pro Hard Drive,1014.54 zł,Seagate,ST8000NE0004,763649116104,763649116104.0,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/Seagate-IronWolf-RAID-Internal-Drive/dp/B071JNJFBW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071JNJFBW
Seagate IronWolf Pro Hard Drive,1938.46 zł,Seagate,ST12000NE0007,763649103210,763649117354.0,"3.5""",12 TB,7.2,256.0,https://www.amazon.ca/dp/B075XNQYV1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive 10 TB,,Seagate,ST10000NE0008,763649121795,,"3.5""",10 TB,7200.0,256.0,
Seagate IronWolf Pro Hard Drive 12 TB,1554.97 zł,Seagate,ST12000NE0008,763649121788,,"3.5""",12 TB,7200.0,256.0,https://www.amazon.ca/dp/B07J3212N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro Hard Drive 14 TB,,Seagate,ST14000NE0008,8719706004374,,"3.5""",14 TB,7200.0,256.0,
Seagate IronWolf Pro Hard Drive 16 TB,,Seagate,ST16000NE000,8719706008730,,"3.5""",16 TB,7200.0,256.0,
Seagate IronWolf Pro Hard Drive 4 TB,,Seagate,ST4000NE001,763649125137,,"3.5""",4 TB,7200.0,128.0,
Seagate IronWolf Pro Hard Drive 8 TB,,Seagate,ST6000NE000,8719706006026,,"3.5""",8 TB,7200.0,256.0,
Seagate IronWolf Pro Hard Drive 8 TB,,Seagate,ST8000NE001,8719706009867,,"3.5""",8 TB,7200.0,256.0,
Seagate IronWolf Pro NAS Hard Drive ST10000NE0004 10TB 7200rpm 256MB,1225.10 zł,Seagate,ST10000NE0004,8592978063610,,,10 TB,7200.0,,https://www.amazon.ca/dp/B01M4FU8Y3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate IronWolf Pro NAS Hard Drive ST2000NE0025 2TB 7200rpm 128MB,388.31 zł,Seagate,ST2000NE0025,763649111307,,,2 TB,7200.0,,https://www.amazon.ca/Seagate-IronWolf-Internal-Hard-Drive/dp/B01N2L30Y1?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2L30Y1
Seagate IronWolf Pro NAS Hard Drive ST6000NE0021 6TB 7200rpm 256MB,,Seagate,ST6000NE0021,763649098226,763649110904.0,,6 TB,7200.0,,
Seagate IronWolf Pro NAS Hard Drive ST8000NE0021 8TB 7200rpm 256MB,,Seagate,ST8000NE0021,763649098233,,,8 TB,7200.0,,
Seagate Mobile Hard Drive,,Seagate,ST1000LM035,7636490060670,,,1 TB,5400.0,128.0,
Seagate Mobile Hard Drive,,Seagate,ST2000LM007,7636490060656,,,2 TB,5400.0,128.0,
Seagate NAS Hard Drive ST2000VN000 2TB 5900rpm 64MB,,Seagate,ST2000VN000,8592978052652,,,2 TB,5900.0,,
Seagate SkyHawk Hard Drive,,Seagate,ST3000VX010,763649097991,763649110676.0,"3.5""",3 TB,7.2,64.0,
Seagate SkyHawk Hard Drive,778.96 zł,Seagate,ST10000VX0004,7636490076558,763649089231.0,"3.5""",10 TB,7.2,256.0,https://www.amazon.ca/dp/B07N33PYN4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate SkyHawk Hard Drive 3 TB,,Seagate,ST3000VX009,8719706002929,,"3.5""",3 TB,5900.0,256.0,
Seagate SkyHawk Hard Drive 4 TB,465.60 zł,Seagate,ST4000VX007,763649097953,763649110638.0,"3.5""",4 TB,7200.0,64.0,https://www.amazon.ca/dp/B01L1V9X5Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate SkyHawk Hard Drive 6 TB,,Seagate,ST6000VX001,763649092132,,"3.5""",6 TB,5.9,256.0,
Seagate SkyHawk Hard Drive 8 TB,,Seagate,ST8000VX0022,763649110850,763649110850.0,"3.5""",8 TB,7200.0,256.0,
Seagate Skyhawk Hard Drive 8 TB,,Seagate,ST8000VX004,8719706009805,,"3.5""",8 TB,7.2,256.0,
Seagate SkyHawk Hard Drive ST1000VX005,188.65 zł,Seagate,ST1000VX005,8592978061524,763649110652.0,,1 TB,7200.0,,https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Seagate SkyHawk Hard Drive ST2000VX008,244.71 zł,Seagate,ST2000VX008,8592978061555,,,2 TB,7200.0,,https://www.amazon.ca/Seagate-SkyHawk-Surveillance-Internal-Drive/dp/B01LOOJ8QM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LOOJ8QM
Seagate SkyHawk Hard Drive ST6000VX0023,689.68 zł,Seagate,ST6000VX0023,8592978062361,763649110812.0,,6 TB,7200.0,,https://www.amazon.ca/SEAGATE-ST6000VX0023-Skyhawk-Internal-Drive/dp/B01M5FSTXY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M5FSTXY
Seagate Surveillance Hard Drive,,Seagate,ST3000VX000,7636490030635,,,3 TB,7200.0,,
Seagate Surveillance Hard Drive ST1000VX000,,Seagate,ST1000VX000,715663215639,,,1 TB,7200.0,,
Seagate Surveillance Hard Drive ST1000VX003,,Seagate,ST1000VX003,7636490063039,,,1 TB,5900.0,,
Seagate Surveillance Hard Drive ST2000VX000,360.86 zł,Seagate,ST2000VX000,8592978011635,,,2 TB,7200.0,,https://www.amazon.ca/Seagate-Sv35-3-5-Inch-ST2000VX000-Black/dp/B007JUFKM2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007JUFKM2
Seagate Surveillance Hard Drive ST4000VX000,474.64 zł,Seagate,ST4000VX000,8592978012670,,,4 TB,5900.0,,https://www.amazon.ca/Seagate-Surveillance-3-5-Inch-Internal-ST4000VX000/dp/B00JW53C5Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00JW53C5Y
Seagate Surveillance Hard Drive ST8000VX0002,,Seagate,ST8000VX0002,8592978049249,,,8 TB,7200.0,,
Seagate Video 3.5 Hard Drive ST2000VM003,,Seagate,ST2000VM003,8592978029258,,,2 TB,5900.0,,
Toshiba Cloud Hard Drive MC04ACA200E 2TB 128MB,,Toshiba,MC04ACA200E,4949268790857,,,2 TB,7200.0,,
Toshiba Cloud Hard Drive MC04ACA300E 3TB 128MB,,Toshiba,MC04ACA300E,4053162588240,,,3 TB,7200.0,,
Toshiba Enterprise MG03SCA300 3TB 64MB SAS,,Toshiba,MG03SCA300,163120879960,,,3 TB,7200.0,,
Toshiba N300 HDWN160EZSTA 6TB 128MB,,Toshiba,HDWN160EZSTA,4051528312669,,,6 TB,7200.0,,
Toshiba N300 HDWN160UZSVA 6TB 128MB Bulk,,Toshiba,HDWN160UZSVA,4051528328257,,,6 TB,7200.0,,
