Part Number,brand,Model,Rank,Benchmark,Samples,Title,Price,Image URL,Frequency,Cores,Socket,Unlocked Multiplier
BX8071512600KF,Intel,Core i5-12600KF,57,109.0,40032,"Procesor Intel Core i5-12600KF, 3.7 GHz, 20 MB, OEM (CM8071504555228)","698,82 zł",https://images.morele.net/i256/9682844_0_i256.jpg,3.7 GHz,10 rdzeni,Socket 1700,Tak
BX8071512600KF,Intel,Core i5-12600KF,57,109.0,40032,"Procesor Intel Core i5-12600KF, 3.7 GHz, 20 MB, BOX (BX8071512600KF) + Endorfy Fortis 5 Dual Fan (EY3A009)","1 022,19 zł",https://images.morele.net/i256/9078235_0_i256.jpg,3.7 GHz,10 rdzeni,Socket 1700,Tak
BX8071512600KF,Intel,Core i5-12600KF,57,109.0,40032,"Procesor Intel Core i5-12600KF, 3.7 GHz, 20 MB, BOX (BX8071512600KF)",779 zł,https://images.morele.net/i256/9502212_1_i256.jpg,3.7 GHz,10 rdzeni,Socket 1700,Tak
BX8071512700F,Intel,Core i7-12700F,58,109.0,31910,"Procesor Intel Core i7-12700F, 2.1 GHz, 25 MB, OEM (CM8071504555020)","1 028,29 zł",https://images.morele.net/i256/9893332_0_i256.jpg,2.1 GHz,12 rdzeni,Socket 1700,Nie
BX8071512700F,Intel,Core i7-12700F,58,109.0,31910,"Procesor Intel Core i7-12700F, 2.1 GHz, 25 MB, BOX (BX8071512700F)",999 zł,https://images.morele.net/i256/9704858_1_i256.jpg,2.1 GHz,12 rdzeni,Socket 1700,Nie
BX8071512600K,Intel,Core i5-12600K,59,109.0,101563,"Procesor Intel Core i5-12600K, 3.7 GHz, 20 MB, OEM (CM8071504555227)","891,25 zł",https://images.morele.net/i256/9496734_0_i256.jpg,3.7 GHz,10 rdzeni,Socket 1700,Tak
BX8071512600K,Intel,Core i5-12600K,59,109.0,101563,"Procesor Intel Core i5-12600K, 3.7 GHz, 20 MB, BOX (BX8071512600K)",799 zł,https://images.morele.net/i256/5949746_0_i256.jpg,3.7 GHz,10 rdzeni,Socket 1700,Tak
100-100000592BOX,AMD,Ryzen 7 7700,60,109.0,2291,"Procesor AMD Ryzen 7 7700, 3.8 GHz, 32 MB, MPK (100-100000592MPK)","1 824,90 zł",https://images.morele.net/i256/13129745_0_i256.jpg,3.8 GHz,8 rdzeni,Socket AM5,Tak
100-100000592BOX,AMD,Ryzen 7 7700,60,109.0,2291,"Procesor AMD Ryzen 7 7700, 3.8 GHz, 32 MB, BOX (100-100000592BOX)",1 089 zł,https://images.morele.net/i256/12491802_0_i256.jpg,3.8 GHz,8 rdzeni,Socket AM5,Tak
100-100000592BOX,AMD,Ryzen 7 7700,60,109.0,2291,"Procesor AMD Ryzen 7 7700, 3.8 GHz, 32 MB, OEM (100-000000592)","841,76 zł",https://images.morele.net/i256/12984669_1_i256.jpg,3.8 GHz,8 rdzeni,Socket AM5,Tak
100-100000590BOX,AMD,Ryzen 9 7900,61,109.0,939,"Procesor AMD Ryzen 9 7900, 3.7 GHz, 64 MB, MPK (100-100000590MPK)","2 258,98 zł",https://images.morele.net/i256/13113443_0_i256.jpg,3.7 GHz,12 rdzeni,Socket AM5,Tak
100-100000590BOX,AMD,Ryzen 9 7900,61,109.0,939,"Procesor AMD Ryzen 9 7900, 3.7 GHz, 64 MB, BOX (100-100000590BOX)","1 375,87 zł",https://images.morele.net/i256/12491801_0_i256.jpg,3.7 GHz,12 rdzeni,Socket AM5,Tak
100-100000590BOX,AMD,Ryzen 9 7900,61,109.0,939,"Procesor AMD Ryzen 9 7900, 3.7 GHz, 64 MB, OEM (100-000000590)","2 382,17 zł",https://images.morele.net/i256/13113444_1_i256.jpg,3.7 GHz,12 rdzeni,Socket AM5,Tak
